locale,key,first_seen_in_file
de,menu.loyalty_setup,resources/js/components/admin/settings/LoyaltySetup/LoyaltySetupComponent.vue
de,message.branch_required,resources/js/components/admin/pos/PosComponent.vue
de,message.cart_is_empty,resources/js/components/admin/pos/PosComponent.vue
de,message.cart_reset,resources/js/components/admin/pos/PosComponent.vue
de,message.cart_restored,resources/js/components/admin/pos/PosComponent.vue
de,message.confirm_transfer,resources/js/components/admin/pos/FloorplanComponent.vue
de,message.discount_reason_required,resources/js/components/admin/pos/PosComponent.vue
de,message.kds_recall_grace_expired,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,message.kds_status_conflict,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,message.new_pos_order,resources/js/components/admin/pos/PosComponent.vue
de,message.new_pos_order_with_id,resources/js/components/admin/pos/PosComponent.vue
de,message.something_went_wrong,resources/js/components/admin/pos/ItemComponent.vue
de,message.something_wrong,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,message.zone_required,resources/js/components/admin/settings/Branch/BranchShowComponent.vue
de,pos.barcode_not_found,resources/js/components/admin/pos/PosComponent.vue
de,pos.discard,resources/js/components/admin/pos/ParkedOrdersComponent.vue
de,pos.empty_parked_orders,resources/js/components/admin/pos/ParkedOrdersComponent.vue
de,pos.item_86_d,resources/js/components/admin/pos/ItemComponent.vue
de,pos.item_no_longer_available,resources/js/components/admin/pos/PosComponent.vue
de,pos.item_unavailable_during_edit,resources/js/components/admin/pos/ItemComponent.vue
de,pos.park,resources/js/components/admin/pos/PosComponent.vue
de,pos.park_discard_error,resources/js/components/admin/pos/ParkedOrdersComponent.vue
de,pos.park_discard_success,resources/js/components/admin/pos/ParkedOrdersComponent.vue
de,pos.park_fetch_error,resources/js/components/admin/pos/ParkedOrdersComponent.vue
de,pos.park_label_prompt,resources/js/components/admin/pos/PosComponent.vue
de,pos.park_requires_items,resources/js/components/admin/pos/PosComponent.vue
de,pos.park_restore_error,resources/js/components/admin/pos/ParkedOrdersComponent.vue
